Playlist ID,Playlist Name,Owner,Public,Tracks
0i6MEguSVCzYhuI9WnShNO,Seductive english songs,Joyeeta Mukherjee,True,0
3IWCfag3xFRuQCtLirPTjP,folklore and evermore in the story order,cece1028,True,0
5hLSEKFxzWmEuiD0K752id,🫰🏻,Elisha,False,0
71R1tFC0qxayDklr5Lwvwk,tis the damn season,Sherlynn,False,0
24whcYqRkTKxGQZbXaH3LF,bad bitching lately,Sherlynn,False,0
49NDR7wpjV1COiQUqJjC2F,half past five,Sherlynn,False,0
5ktWETiYhCMexFhTxUoFXi,brrrr,Sherlynn,False,0
5bolUo7XqWa26UWVcyTMEp,vibe hi alag hai  🙏🏽,Elisha,False,0
7cW9EbKl19fhbCW4XLEIIa,why shower alone when u can shower with music,Sherlynn,False,0
45I2qWtVBOHhRX52MKjpTT,for the times when YOU want to be the main character,ASHI,True,0
